Residuals	lipocalin2_pg_ml_scaled	number_of_pups_scaled	weight_grams_scaled	genotype
GO:0009044|[MF] xylan 1,4-beta-xylosidase activity	0.893899527391206	5.40583986637797e-05	0.021383590666751	0.0846628235433794	0
GO:0009045|[MF] xylose isomerase activity	0.845026554283693	0.0165108068230018	0.00164460262384195	0.110483790198105	0.026334246071358
GO:0009052|[BP] pentose-phosphate shunt, non-oxidative branch	0.872268187863331	0.0096691707184567	0.0676340038577312	0.0134932471791618	0.0369353903813195
GO:0009055|[MF] electron carrier activity	0.754653331735146	0.139727031649963	0.102386297533748	0.00323333908114325	0
GO:0009056|[BP] catabolic process	0.86294467033478	0.0157614237499453	0.0469116770191425	0.0743822288961317	0
GO:0009058|[BP] biosynthetic process	0.766323880320981	0.103030510141048	0.108846939812994	0.00420421340888875	0.0175944563160877
GO:0009060|[BP] aerobic respiration	0.735668779397974	0.129627878195609	0.122059698841521	0.012643643564896	0
GO:0009063|[BP] cellular amino acid catabolic process	0.848223044336056	0.0695397614141011	0.0315255599406298	0.0507116343092131	0
GO:0009067|[BP] aspartate family amino acid biosynthetic process	0.836303789499893	0.0887527295583189	0.0471184840666561	0.0278249968751324	0
GO:0009072|[BP] aromatic amino acid family metabolic process	0.704588782885334	0.0844091624938044	0.205930279687186	0.0050717749336761	0
GO:0009073|[BP] aromatic amino acid family biosynthetic process	0.76325905673535	0.176621573377839	0.0600541213388249	6.52485479860379e-05	6.24374360703884e-19
GO:0009081|[BP] branched-chain amino acid metabolic process	0.900782310722129	0.0590696260488893	0.00332805412893233	0.0011503405494468	0.0356696685506031
GO:0009082|[BP] branched-chain amino acid biosynthetic process	0.743276599836512	0.12002471528709	0.131665677247639	0.00503300762875898	0
GO:0009086|[BP] methionine biosynthetic process	0.723465186767634	0.123155184127385	0.142838994749315	0.000659763745117052	0.00988087061054915
GO:0009088|[BP] threonine biosynthetic process	0.850314984042353	0.0692778715439515	0.0383281468711633	0.0420789975425318	0
GO:0009089|[BP] lysine biosynthetic process via diaminopimelate	0.74967869971455	0.134047002641439	0.0869437690839034	0.00612137191825674	0.0232091566418511
GO:0009094|[BP] L-phenylalanine biosynthetic process	0.796071446403861	0.126672873766413	0.0614840457929147	0.0157716340368119	0
GO:0009097|[BP] isoleucine biosynthetic process	0.81538801146161	0.111222976010861	0.0488851908625698	0.0245038216649602	0
GO:0009098|[BP] leucine biosynthetic process	0.776948162571396	0.13295765664877	0.0368779412693733	0.0532162395104613	0
GO:0009099|[BP] valine biosynthetic process	0.814987599875611	0.145405593560901	0.0321578019557731	0.00744900460771557	0
GO:0009102|[BP] biotin biosynthetic process	0.793352335726569	0.102472166260743	0.0742275496625833	0.0299479483501046	0
GO:0009103|[BP] lipopolysaccharide biosynthetic process	0.915056933552629	0.0144569767296586	0.00917761927500115	0.0613084704427119	0
GO:0009107|[BP] lipoate biosynthetic process	0.888544851649565	0.0197439920235698	0.0338692873371463	0.0578418689897185	0
GO:0009113|[BP] purine nucleobase biosynthetic process	0.779890071704356	0.0868357679436133	0.0824134580733975	0.00434356650463882	0.0465171357739939
GO:0009116|[BP] nucleoside metabolic process	0.609083327116014	0.0656414666956965	0.128102096631094	0.0623675146885888	0.134805594868606
GO:0009143|[BP] nucleoside triphosphate catabolic process	0.711364972975451	0.0127044028293471	0.0156102821445812	0.0631366598104653	0.197183682240156
GO:0009156|[BP] ribonucleoside monophosphate biosynthetic process	0.922636207826759	0.0227319782342862	0.0544765363749642	0.000155277563990828	0
GO:0009159|[BP] deoxyribonucleoside monophosphate catabolic process	0.936244599471397	0.00269001970566322	0.0153916127379138	0.0456737680850259	0
GO:0009163|[BP] nucleoside biosynthetic process	0.679355919487463	0.0948083132819673	0.215512871580014	0.010322895650555	0
GO:0009164|[BP] nucleoside catabolic process	0.914975468921835	0.0206264920996443	0.00039188404179151	0.0153410545300567	0.0486651004066726
GO:0009165|[BP] nucleotide biosynthetic process	0.873996836803426	0.021601278379253	0.00030390348229326	0.017560717438233	0.0865372638967943
GO:0009166|[BP] nucleotide catabolic process	0.892267693272049	0.0763374416492789	0.0311704339382131	0.000224431140459203	0
GO:0009186|[BP] deoxyribonucleoside diphosphate metabolic process	0.872619498572146	0.00432878648097877	0.0866736185563764	0.036378096390499	0
GO:0009190|[BP] cyclic nucleotide biosynthetic process	0.986766408510445	0.0118021129191054	0.00135656109427421	7.49174761752658e-05	0
GO:0009214|[BP] cyclic nucleotide catabolic process	0.969657940638039	0.0130262947540133	0.00125523631597986	0.0160605282919676	0
GO:0009220|[BP] pyrimidine ribonucleotide biosynthetic process	0.836745019488412	0.0557135463041768	0.0742243847296437	0.0333170494777672	0
GO:0009225|[BP] nucleotide-sugar metabolic process	0.860479458598628	0.061262639221723	0.0481517219536264	0.0301061802260227	0
GO:0009228|[BP] thiamine biosynthetic process	0.804551789873287	0.148087506302359	0.0390655167607453	0.008295187063609	0
GO:0009229|[BP] thiamine diphosphate biosynthetic process	0.867736988761756	0.116632049824153	0.00864137559106663	0.00698958582302461	0
GO:0009231|[BP] riboflavin biosynthetic process	0.741689476334285	0.169971383215417	0.0877467289484077	0.00059241150189	0
GO:0009234|[BP] menaquinone biosynthetic process	0.941809656569637	0.028310924654915	4.69660493772426e-07	0.0298789491149544	0
GO:0009236|[BP] cobalamin biosynthetic process	0.674209788437264	0.144992988312408	0.176876858120241	0.00392036513008761	0
GO:0009244|[BP] lipopolysaccharide core region biosynthetic process	0.874506422724695	0.0031527259256421	0.047468049312255	0.0748728020374076	0
GO:0009245|[BP] lipid A biosynthetic process	0.936962239709789	0.0509868511954641	0.00858921073350682	0.00346169836124009	1.3867365389407e-21
GO:0009247|[BP] glycolipid biosynthetic process	0.544679399960023	0.160649420897357	0.0581450673203852	0.00866517310978919	0.227860938712445
GO:0009249|[BP] protein lipoylation	0.892812024324218	0.00291806644440547	0.0314978983502822	0.0104367951113978	0.0623352157696963
GO:0009252|[BP] peptidoglycan biosynthetic process	0.751243952151185	0.0689778289977951	0.0493230308751802	0.00372677099336009	0.12672841698248
GO:0009253|[BP] peptidoglycan catabolic process	0.792669391850438	0.0929437200076923	0.0985745275278849	0.0158123606139851	0
GO:0009254|[BP] peptidoglycan turnover	0.976106101994712	0.0105556371364626	0.00383664948411826	0.00315439733450528	0.00634721405020161
GO:0009263|[BP] deoxyribonucleotide biosynthetic process	0.923301958889566	0.000674865280134066	0.0256789025700404	0.05034427326026	0
GO:0009264|[BP] deoxyribonucleotide catabolic process	0.846811095193563	0.00786907837613711	0.0199290855775007	0.000797978004880881	0.124592762847919
GO:0009267|[BP] cellular response to starvation	0.881446399117491	0.0944665700602357	0.0239978649763202	8.91658459528655e-05	0
GO:0009274|[CC] peptidoglycan-based cell wall	0.707878734133665	0.108904472902197	0.113196981587428	0.0700198113767106	0
GO:0009276|[CC] Gram-negative-bacterium-type cell wall	0.854282841990792	0.0372346905375921	0.00232959716056179	0.106152870311054	0
GO:0009279|[CC] cell outer membrane	0.931250121013341	0.0238158303102331	0.043053200280237	0.00188084839618848	0
GO:0009288|[CC] bacterial-type flagellum	0.788738666396521	0.141561333322548	0.0630925241826827	0.00660747609824901	0
GO:0009291|[BP] unidirectional conjugation	0.853829351160324	0.116628824596326	0.0293543992676916	0.000187424975658344	0
GO:0009294|[BP] DNA mediated transformation	0.852852772472956	0.0484857540545747	0.0934547816715263	0.00520669180094337	0
GO:0009295|[CC] nucleoid	0.627722768962906	0.114613433644791	0.151342384184848	0.0035499691800302	0.102771444027425
GO:0009298|[BP] GDP-mannose biosynthetic process	0.830930658286271	0.0139469922008198	0.00174937011851001	0.0973723203187122	0.0560006590756866
GO:0009303|[BP] rRNA transcription	0.934767825555031	0.0216638597121537	0.0379826689304195	0.00558564580239543	0
GO:0009305|[BP] protein biotinylation	0.70139653532835	0.183366637339596	0.114770274621964	0.000466552710089643	0
GO:0009306|[BP] protein secretion	0.756381093376647	0.15597817648791	0.0787761019539837	0.00886462818145908	0
GO:0009307|[BP] DNA restriction-modification system	0.609953421402289	0.175703225263542	0.210231471584533	0.00411188174963592	0
GO:0009316|[CC] 3-isopropylmalate dehydratase complex	0.867966097907667	0.0511253644655796	0.076031083241455	0.00487745438529835	0
GO:0009317|[CC] acetyl-CoA carboxylase complex	0.814768265857292	0.121387632575754	0.063281283514692	0.000562818052262137	0
GO:0009318|[CC] exodeoxyribonuclease VII complex	0.659312016791432	0.171719381891227	0.149715635483722	0.000492347620824579	0.0187606182127943
GO:0009326|[CC] formate dehydrogenase complex	0.849434905475515	0.127000163695185	0.00812317552095834	0.0154417553083415	0
GO:0009331|[CC] glycerol-3-phosphate dehydrogenase complex	0.775097258205871	0.0102149834858827	0.0408517786123387	0.00475477602018262	0.169081203675725
GO:0009338|[CC] exodeoxyribonuclease V complex	0.930560868627062	0.0386674590112486	0.0190699054009609	0.0117017669607284	0
GO:0009341|[CC] beta-galactosidase complex	0.817749904309009	0.0414890033967045	0.07620119611453	0.0645598961797565	0
GO:0009346|[CC] citrate lyase complex	0.839915314418996	0.0395322731014285	0.0750026924896358	0.0455497199899398	0
GO:0009347|[CC] aspartate carbamoyltransferase complex	0.860895756583939	0.00184931568699101	0.133303976618206	0.00395095111086407	0
GO:0009349|[CC] riboflavin synthase complex	0.747103043962966	0.0979884058347942	0.154798296441061	0.000110253761179378	0
GO:0009358|[CC] polyphosphate kinase complex	0.704776354648722	0.13032810589126	0.164725519184869	0.000170020275149654	0
GO:0009360|[CC] DNA polymerase III complex	0.749372595342387	0.114488241401783	0.035673978992842	0.0173218742734782	0.0831433099895099
GO:0009372|[BP] quorum sensing	0.808888641609896	0.117051977531559	0.052668739202055	0.0213906416564901	0
GO:0009374|[MF] biotin binding	0.988797093426063	0.010882570400606	7.55796834088927e-07	0.000319580376496488	0
GO:0009375|[CC] ferredoxin hydrogenase complex	0.847448545725771	0.0633218961366145	0.0388680010530432	0.0503615570845712	0
GO:0009376|[CC] HslUV protease complex	0.876578236810057	0.0762520547236883	0.026004137617039	0.0211655708492153	0
GO:0009378|[MF] four-way junction helicase activity	0.744878020298339	0.0287399687323174	0.0352392013901884	0.0314045614701948	0.159738248108961
GO:0009379|[CC] Holliday junction helicase complex	0.786427781824021	0.0617039569425581	0.0755296148777722	8.62127904311648e-06	0.0763300250766057
GO:0009380|[CC] excinuclease repair complex	0.672225106118813	0.0073773144788734	0.0608049911759939	0.0235349114534116	0.236057676772908
GO:0009381|[MF] excinuclease ABC activity	0.674321468493082	0.00521372938031669	0.0853198794920375	0.006222821795138	0.228922100839426
GO:0009395|[BP] phospholipid catabolic process	0.929477265736173	0.00847253616089831	0.0338483508527448	0.0282018472501844	0
GO:0009396|[BP] folic acid-containing compound biosynthetic process	0.677856242918771	0.0413056075687633	0.139854263645366	0.0168374657250479	0.124146420142053
GO:0009398|[BP] FMN biosynthetic process	0.732963150498973	0.135316096185381	0.125033260007867	0.00668749330777863	0
GO:0009399|[BP] nitrogen fixation	0.951641137866001	0.0479156250845861	0.000380838666103305	6.23983833096913e-05	0
GO:0009401|[BP] phosphoenolpyruvate-dependent sugar phosphotransferase system	0.719581350745062	0.140625673132067	0.139493898672249	0.000299077450621757	0
GO:0009403|[BP] toxin biosynthetic process	0.631566006950248	0.24698984679329	0.117898072195012	0.00354607406144959	0
GO:0009405|[BP] pathogenesis	0.852783785513596	0.142584484449722	2.70915560416951e-06	0.00462902088107826	0
GO:0009408|[BP] response to heat	0.716895141620322	0.189719624725628	0.0443393534145081	0.0138370950372891	0.0352087852022523
GO:0009409|[BP] response to cold	0.946329134275877	0.0376840177863933	0.0159025260482497	8.43218894801251e-05	0
GO:0009420|[CC] bacterial-type flagellum filament	0.74256060076402	0.160793587150047	0.0704278520178016	0.0262179600681313	0
GO:0009423|[BP] chorismate biosynthetic process	0.759021163639542	0.177765748179756	0.0629395107570097	0.000273577423692818	2.3483424193e-20
GO:0009424|[CC] bacterial-type flagellum hook	0.710065458821684	0.19189341292699	0.0741254552975285	0.0239156729537972	0
GO:0009425|[CC] bacterial-type flagellum basal body	0.703350044446353	0.208937226735219	0.0633540876120673	0.0243586412063603	0
GO:0009426|[CC] bacterial-type flagellum basal body, distal rod	0.800178042372664	0.116375669548647	0.0784627450564619	0.00498354302222656	0
GO:0009427|[CC] bacterial-type flagellum basal body, distal rod, L ring	0.835311765497995	0.0522558184674512	0.0267788205772067	0.0856535954573472	0
GO:0009428|[CC] bacterial-type flagellum basal body, distal rod, P ring	0.842317477469725	0.0872275672375598	0.0267185587031902	0.0437363965895248	0
GO:0009431|[CC] bacterial-type flagellum basal body, MS ring	0.844231208705047	0.0554574232710792	0.098016613634902	0.00229475438897194	0
GO:0009432|[BP] SOS response	0.639923826804316	0.0126729302682449	0.0621324652215479	0.0304163552361466	0.254854422469744
GO:0009435|[BP] NAD biosynthetic process	0.852946407240451	0.084224402455591	0.0119385439842167	0.0142955373149004	0.036595109004841
GO:0009443|[BP] pyridoxal 5-phosphate salvage	0.813854710360694	0.0757200446201871	0.0617685829526187	0.00139051448441998	0.0472661475820806
GO:0009446|[BP] putrescine biosynthetic process	0.774824621063486	0.144972020412188	0.0136426455759269	0.0665607129483992	0
GO:0009451|[BP] RNA modification	0.80076028914308	0.134816189427354	0.021917296083985	0.0267811754887497	0.0157250498568319
GO:0009507|[CC] chloroplast	0.947880291077305	0.0280488456860037	0.0238585959600262	0.000212267276664839	0
GO:0009605|[BP] response to external stimulus	0.868078056689675	0.0584545561035078	0.0558491635249472	0.0176182236818698	0
GO:0009607|[BP] response to biotic stimulus	0.838686196561152	0.062454616756543	0.0849666102692131	0.0138925764130915	0
GO:0009642|[BP] response to light intensity	0.90817533425077	0.0508244242845891	0.0257299765390108	0.0152702649256298	0
GO:0009678|[MF] hydrogen-translocating pyrophosphatase activity	0.949985072954423	0.000505659410748679	0.0101641757708849	0.0393450918639429	0
GO:0009847|[BP] spore germination	0.93506615259734	0.0459625430852936	0.00611728579675576	0.012854018520611	0
GO:0009898|[CC] cytoplasmic side of plasma membrane	0.969064046860912	0.0129068023174667	0.0161156397183629	0.0019135111032582	0
GO:0009976|[MF] tocopherol cyclase activity	0.861672240233526	0.0412619778581568	0.0967865183006572	0.000279263607659968	0
GO:0009982|[MF] pseudouridine synthase activity	0.768309614608424	0.064599593221382	0.0742011907964123	0.0216122496293291	0.0712773517444522
GO:0009986|[CC] cell surface	0.769533896227942	0.0389968668753557	0.127842777599993	0.0636264592967088	0
GO:0010045|[BP] response to nickel cation	0.830067371628118	0.0550941673387065	0.0424181529635684	0.0724203080696065	0
GO:0010124|[BP] phenylacetate catabolic process	0.964643934720914	0.0205367947489625	0.01299485266888	0.00182441786124324	0
GO:0010133|[BP] proline catabolic process to glutamate	0.869856812414077	0.00958011193582621	0.0610354003075942	0.0595276753425022	0
GO:0010181|[MF] FMN binding	0.798072346808624	0.119805394722814	0.0819913841800432	0.000130874288519079	0
GO:0010285|[MF] L,L-diaminopimelate aminotransferase activity	0.703083432250991	0.213132698978376	0.0756654353680535	0.00811843340257987	0
GO:0010340|[MF] carboxyl-O-methyltransferase activity	0.927563501337523	0.00265669166512914	0.0553566366561031	0.0144231703412451	0
GO:0010467|[BP] gene expression	0.904078877486845	0.0763328435163262	0.0181704250310414	0.00141785396578718	0
GO:0010468|[BP] regulation of gene expression	0.942468175557459	0.00207315617379151	0.0324679459883822	0.0229907222803678	0
GO:0010923|[BP] negative regulation of phosphatase activity	0.945536462382601	3.24802262257235e-05	0.0544199798691348	1.10775220381664e-05	0
GO:0014069|[CC] postsynaptic density	0.957917018119976	0.0204512315611206	0.00412886884225274	0.0175028814766503	0
GO:0015031|[BP] protein transport	0.668377329996093	0.0723227097329573	0.177729405667916	0.00976761082104526	0.0718029437819884
GO:0015035|[MF] protein disulfide oxidoreductase activity	0.820792477646087	0.011324939990134	0.028716586360591	0.0583683691906187	0.0807976268125689
GO:0015074|[BP] DNA integration	0.878859255860345	0.0476151609994257	0.0038295005949705	0.069696082545259	0
GO:0015075|[MF] ion transmembrane transporter activity	0.879064585282507	0.110008302600231	0.00368995255730945	0.00723715955995254	0
GO:0015078|[MF] hydrogen ion transmembrane transporter activity	0.702117891562889	0.200893381729036	0.0889044622976637	0.0080842644104111	0
GO:0015079|[MF] potassium ion transmembrane transporter activity	0.574213206122308	0.0584353770127693	0.130031303300331	0.0500877350734074	0.187232378491184
GO:0015081|[MF] sodium ion transmembrane transporter activity	0.862059907590491	0.0559524183405323	0.067899522336739	0.0140881517322372	0
GO:0015087|[MF] cobalt ion transmembrane transporter activity	0.84644226581998	0.0530304616270998	0.0625007711315666	0.0380265014213541	0
GO:0015093|[MF] ferrous iron transmembrane transporter activity	0.839731331016673	0.0279473591507176	0.0272403841896663	0.000323781275395099	0.104757144367548
GO:0015095|[MF] magnesium ion transmembrane transporter activity	0.993069263297057	0.00251401877334174	0.000174544928594197	0.00424217300100725	0
GO:0015098|[MF] molybdate ion transmembrane transporter activity	0.721404127715749	0.193142169749907	0.0846496423142634	0.000804060220080253	0
GO:0015103|[MF] inorganic anion transmembrane transporter activity	0.724794071791294	0.0489887942159784	0.190110199291532	0.00117941025416262	0.0349275244470329
GO:0015105|[MF] arsenite transmembrane transporter activity	0.782912660051901	0.0248058742008206	0.012896016782397	0.179385448964881	0
GO:0015109|[MF] chromate transmembrane transporter activity	0.953822197702158	0.00253998763334803	0.00149681078885037	0.0421410038756432	0
GO:0015128|[MF] gluconate transmembrane transporter activity	0.828758404533485	0.0744952423699376	0.0967283644876117	1.79886089654586e-05	0
GO:0015129|[MF] lactate transmembrane transporter activity	0.91095419066832	0.0425930704043218	0.00822832931245427	0.0382244096149036	0
GO:0015137|[MF] citrate transmembrane transporter activity	0.558765480806623	0.0701932703614638	0.334294702110538	0.0367465467213751	0
GO:0015144|[MF] carbohydrate transmembrane transporter activity	0.804929244056603	0.0110326623982221	0.119213730670477	0.00838189109405731	0.0564424717806409
GO:0015150|[MF] fucose transmembrane transporter activity	0.891255885455784	0.0648985485573391	0.0302198288471512	0.0136257371397259	0
GO:0015153|[MF] rhamnose transmembrane transporter activity	0.791561284805164	0.0185293525619409	0.100903214116494	0.0875951517748032	0.00141099674159825
GO:0015159|[MF] polysaccharide transmembrane transporter activity	0.750196605227373	0.117758252730728	0.00356801695731901	0.0982767213037483	0.0302004037808317
GO:0015169|[MF] glycerol-3-phosphate transmembrane transporter activity	0.744554320187014	0.143837491027859	0.102772497266212	0.0088356915189154	0
GO:0015171|[MF] amino acid transmembrane transporter activity	0.911616579776031	0.0078737445435501	0.0373930919151013	0.0286871206635491	0.0144294631017685
GO:0015197|[MF] peptide transporter activity	0.840198448748206	0.110040745910667	0.036023112054778	0.0137376932863494	0
GO:0015204|[MF] urea transmembrane transporter activity	0.847760424125532	0.0616418429463351	0.0365245171512943	0.0540732157768389	0
GO:0015221|[MF] lipopolysaccharide transmembrane transporter activity	0.738501200308389	0.0907803160131204	0.0156253745880638	0.000176013086453054	0.154917096003974
GO:0015225|[MF] biotin transporter activity	0.725765941976764	0.193453017087787	0.0803818524634236	0.000399188472024844	0
GO:0015232|[MF] heme transporter activity	0.714306976247652	0.153633563957059	0.124373516472523	0.0076859433227659	0
GO:0015234|[MF] thiamine transmembrane transporter activity	0.923816261267792	0.0670973652726541	0.00903396798585919	5.24054736944677e-05	0
GO:0015238|[MF] drug transmembrane transporter activity	0.826327525181483	0.10371799644044	0.0668628303245557	0.0030916480535209	0
GO:0015297|[MF] antiporter activity	0.826095859122746	0.10491873853796	0.0657086773802704	0.00327672495902327	0
GO:0015299|[MF] solute:proton antiporter activity	0.901058258092087	0.0241055256592005	0.0648618416112332	0.00997437463747924	0
GO:0015307|[MF] drug:proton antiporter activity	0.825798366450726	0.0992369482537198	0.0062736470939899	0.0686910382015639	0
GO:0015321|[MF] sodium-dependent phosphate transmembrane transporter activity	0.809869306282752	0.0800580518514926	0.108101376065444	0.00197126580031083	0
GO:0015343|[MF] siderophore transmembrane transporter activity	0.896873191914038	0.0157645086794718	0.039750770045909	0.047611529360581	0
GO:0015385|[MF] sodium:proton antiporter activity	0.729999410614162	0.14187881237436	0.116483095042354	0.0116386819691247	0
GO:0015407|[MF] monosaccharide-transporting ATPase activity	0.962911894967897	0.0263442014484166	0.0107162691871739	2.76343965128126e-05	0
GO:0015412|[MF] molybdate transmembrane-transporting ATPase activity	0.87089175431485	0.0683059482900841	0.0298800856824821	0.0309222117125844	0
GO:0015413|[MF] nickel-transporting ATPase activity	0.882225395582072	0.00404674507513788	0.0632232371185242	0.0505046222242658	0
GO:0015415|[MF] phosphate ion transmembrane-transporting ATPase activity	0.915517215775469	0.0630884310856721	0.00043250196535216	0.0209618511735064	0
GO:0015416|[MF] organic phosphonate transmembrane-transporting ATPase activity	0.79442842111961	0.042246125718682	0.0135087855012068	0.0390727035758428	0.110743964084658
GO:0015417|[MF] polyamine-transporting ATPase activity	0.882713601308447	0.0479158990988529	0.0620875074841557	0.00728299210854447	0
GO:0015419|[MF] sulfate transmembrane-transporting ATPase activity	0.736027687433128	0.0154792437235083	0.151603105014299	0.00395650806054721	0.0929334557685174
GO:0015420|[MF] cobalamin-transporting ATPase activity	0.67148820524549	0.151123303054597	0.161970475505025	0.0154180161948887	0
GO:0015424|[MF] amino acid-transporting ATPase activity	0.848903565577214	0.0789487838717771	0.000970417248480368	0.0328430316459448	0.038334201656584
GO:0015450|[MF] P-P-bond-hydrolysis-driven protein transmembrane transporter activity	0.790098194034113	0.0965735260500847	0.108190326660286	0.00513795325551682	0
GO:0015501|[MF] glutamate:sodium symporter activity	0.909397880546335	0.0222815740914635	0.000105301935729568	0.0682152434264722	0
GO:0015556|[MF] C4-dicarboxylate transmembrane transporter activity	0.79386989922472	0.0987790388093258	0.101838450328617	0.00551261163733752	0
GO:0015558|[MF] p-aminobenzoyl-glutamate uptake transmembrane transporter activity	0.824635890466412	0.14490527008563	0.0119334697921447	0.0185253696558125	0
GO:0015565|[MF] threonine efflux transmembrane transporter activity	0.984677610057445	0.00253116166935929	0.012347476010353	0.000443752262842588	0
GO:0015572|[MF] N-acetylglucosamine transmembrane transporter activity	0.86721487812108	0.00572032632394663	0.126986789140041	7.80064149321356e-05	0
GO:0015574|[MF] trehalose transmembrane transporter activity	0.831439936587169	0.0532924349020169	0.100786657061732	0.0144809714490822	0
GO:0015577|[MF] galactitol transmembrane transporter activity	0.840645537558132	0.0767479878732548	0.0767688585356054	0.0058376160330081	0
GO:0015591|[MF] D-ribose transmembrane transporter activity	0.886751510620895	0.0887459755412741	0.00274787813145359	0.0217546357063777	0
GO:0015594|[MF] putrescine-importing ATPase activity	0.81624672077782	0.148399840381458	0.0286370326190914	0.00671640622162995	0
GO:0015595|[MF] spermidine-importing ATPase activity	0.81624672077782	0.148399840381458	0.0286370326190914	0.00671640622162995	0
GO:0015604|[MF] organic phosphonate transmembrane transporter activity	0.569556337201732	0.144703339835535	0.137411713768069	0.000970496682390048	0.147358112512274
GO:0015612|[MF] L-arabinose-importing ATPase activity	0.805444822635337	0.0923995179894206	0.0533954955190767	0.0487601638561662	0
GO:0015623|[MF] iron-chelate-transporting ATPase activity	0.908761275504719	0.00937901041281857	0.000114099370001899	0.0817456147124607	0
GO:0015627|[CC] type II protein secretion system complex	0.774497079071217	0.0881797866189108	0.116349622552636	0.0209735117572362	0
GO:0015628|[BP] protein secretion by the type II secretion system	0.774497079071217	0.0881797866189108	0.116349622552636	0.0209735117572362	0
GO:0015630|[CC] microtubule cytoskeleton	0.917361594038007	0.0474788643611419	0.0311243358638745	0.00403520573697707	0
GO:0015643|[MF] toxic substance binding	0.905280547022145	0.0377668590834276	0.0438391285590324	0.0131134653353948	0
GO:0015649|[MF] 2-keto-3-deoxygluconate:proton symporter activity	0.952500300034961	0.0393215375592441	0.00817525568408079	2.90672171426977e-06	0
GO:0015655|[MF] alanine:sodium symporter activity	0.805895577338897	0.15400776492277	0.0370910089196195	0.00300564881871281	0
GO:0015658|[MF] branched-chain amino acid transmembrane transporter activity	0.7940964664588	0.170070169878304	0.0342696343143896	0.00156372934850668	0
GO:0015667|[MF] site-specific DNA-methyltransferase (cytosine-N4-specific) activity	0.815435394285124	0.118514370691808	0.0649500137419314	0.00110022128113662	0
GO:0015668|[MF] Type III site-specific deoxyribonuclease activity	0.688919753327392	0.0644522692529366	0.0679290195058255	0.0621570608842364	0.116541897029609
GO:0015675|[BP] nickel cation transport	0.864212600725542	0.0860687145249065	0.00179812193025514	0.0479205628192963	0
GO:0015693|[BP] magnesium ion transport	0.992472438820959	0.0028923496770731	0.000298857582015563	0.00433635391995263	0
GO:0015700|[BP] arsenite transport	0.782912660051901	0.0248058742008206	0.012896016782397	0.179385448964881	0
GO:0015794|[BP] glycerol-3-phosphate transport	0.826244747740052	0.126468916039406	0.0205681010616427	0.0267182351588988	0
GO:0015821|[BP] methionine transport	0.954954440606012	8.8970587507738e-06	0.00471253761309691	0.0403241247221399	0
GO:0015833|[BP] peptide transport	0.812724442333085	0.153581562476663	0.0224279864733838	0.0112660087168682	0
GO:0015846|[BP] polyamine transport	0.845650722352181	0.108521014673036	0.0426431765698194	0.00318508640496403	0
GO:0015891|[BP] siderophore transport	0.892981764612735	0.00233045027029866	0.0586309123296113	0.0460568727873545	0
GO:0015920|[BP] lipopolysaccharide transport	0.892457875031862	0.00139075667409437	0.0920380439444075	0.0141133243496356	0
GO:0015923|[MF] mannosidase activity	0.958191619478379	0.0246177483114395	0.0135635145736792	0.0036271176365023	0
GO:0015926|[MF] glucosidase activity	0.94467384142974	0.0212930912688423	0.0126311924384231	0.0214018748629942	0
GO:0015930|[MF] glutamate synthase activity	0.758409111686427	0.135201986553996	0.106133990956607	0.000254910802970227	0
GO:0015934|[CC] large ribosomal subunit	0.845944362318488	0.00623452074545215	0.0441585417600847	0.103662575175975	0
GO:0015935|[CC] small ribosomal subunit	0.767736977103995	0.11873201663481	0.106981898480799	0.00654910778039564	0
GO:0015936|[BP] coenzyme A metabolic process	0.560702487049529	0.00853106229757848	0.426464860152961	0.00430159049993173	0
GO:0015937|[BP] coenzyme A biosynthetic process	0.74322017313392	0.134566280692139	0.0335198291294613	5.943312528072e-05	0.0886342839191985
GO:0015940|[BP] pantothenate biosynthetic process	0.751008279208006	0.046460061823637	0.0949779972453734	0.107553661722984	0
GO:0015941|[BP] pantothenate catabolic process	0.739934748847672	0.106327868958992	0.0392629355984643	0.0085216444856118	0.10595280210926
GO:0015942|[BP] formate metabolic process	0.982748186992008	5.21898222680587e-05	0.0085920946922092	0.00860752849351482	0
GO:0015948|[BP] methanogenesis	0.854968456357971	0.0897829530221539	0.00611851702581852	0.0491300735940481	8.17168415069326e-15
GO:0015969|[BP] guanosine tetraphosphate metabolic process	0.777906427673547	0.0189889503681228	0.0646379912489393	0.0364591403266145	0.102007490382776
GO:0015976|[BP] carbon utilization	0.956578643154656	6.03209436996174e-05	0.00332926669213299	0.0115841546298416	0.0284476145796696
GO:0015977|[BP] carbon fixation	0.811355390017888	0.000264992750447293	0.151957340731985	0.0105866695262846	0.0258356069733952
GO:0015979|[BP] photosynthesis	0.685332121028125	0.161518596696398	0.0799447651619111	0.0732045171135656	0
GO:0015986|[BP] ATP synthesis coupled proton transport	0.72551237835635	0.127612107521209	0.108995450805943	0.0378800633164985	0
GO:0015991|[BP] ATP hydrolysis coupled proton transport	0.975161861775662	0.0195079334570011	0.00503937831707789	0.000290826450259299	0
GO:0015992|[BP] proton transport	0.837046901100975	0.072539408831163	0.0742140143892263	0.0161996756786354	0
GO:0015995|[BP] chlorophyll biosynthetic process	0.668942306335988	0.159809826838555	0.0969286091888876	0.0743192576365701	0
GO:0016020|[CC] membrane	0.793001162062647	0.109929082402804	0.0938274547577587	0.00324230077679067	0
